Model,Accuracy,Precision,Recall,F1-Score
GBM,0.7586712261846604,0.7268832875024346,0.7586712261846604,0.704615256527928
XGBoost,0.767953102100635,0.7354604980823626,0.767953102100635,0.7208768107223977
Random Forest,0.7596482657547631,0.7302711568096417,0.7596482657547631,0.6947345349927366
CatBoost,0.7723497801660967,0.7414944826053177,0.7723497801660967,0.7271583192029364
ANN,0.7557401074743527,0.7150938106706228,0.7557401074743527,0.6984602507635641
